Model,Accuracy,Features
AdaBoost,0.6591928251121076,"Age, Parch"
AdaBoost,0.6591928251121076,"Age, SibSp, Parch, Embarked"
AdaBoost,0.6547085201793722,Parch
AdaBoost,0.6502242152466368,"SibSp, Parch, Embarked"
AdaBoost,0.6367713004484304,SibSp
CatBoost,0.8789237668161435,"Pclass, Sex, Age, Parch, Fare"
CatBoost,0.8699551569506726,"Pclass, Sex, Age, Fare"
CatBoost,0.8565022421524664,"Pclass, Sex, Age, Fare, Embarked"
CatBoost,0.8565022421524664,"Pclass, Sex, Age, SibSp, Fare, Embarked"
CatBoost,0.852017937219731,"Pclass, Sex, Age, SibSp, Parch, Fare"
CatBoost,0.852017937219731,"Pclass, Sex, Age, Parch, Fare, Embarked"
CatBoost,0.852017937219731,"Sex, Age, SibSp, Parch, Fare, Embarked"
CatBoost,0.8475336322869955,"Pclass, Sex, Age, SibSp, Fare"
CatBoost,0.8475336322869955,"Sex, Age, SibSp, Parch, Fare"
CatBoost,0.8475336322869955,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked"
CatBoost,0.8430493273542601,"Pclass, Sex, Parch"
CatBoost,0.8430493273542601,"Pclass, Sex, Fare"
CatBoost,0.8430493273542601,"Pclass, Sex, Age, Parch"
CatBoost,0.8430493273542601,"Sex, Age, SibSp, Parch, Embarked"
CatBoost,0.8430493273542601,"Sex, Age, SibSp, Fare, Embarked"
CatBoost,0.8385650224215246,"Sex, Age, SibSp"
CatBoost,0.8385650224215246,"Pclass, Sex, Age, Embarked"
CatBoost,0.8385650224215246,"Pclass, Sex, Parch, Embarked"
CatBoost,0.8385650224215246,"Sex, Age, SibSp, Parch"
CatBoost,0.8385650224215246,"Sex, Age, SibSp, Fare"
CatBoost,0.8385650224215246,"Sex, Age, SibSp, Embarked"
CatBoost,0.8385650224215246,"Pclass, Sex, Age, SibSp, Embarked"
CatBoost,0.8385650224215246,"Pclass, Sex, Age, Parch, Embarked"
CatBoost,0.8340807174887892,"Pclass, Sex, Age"
CatBoost,0.8340807174887892,"Pclass, Sex, Age, SibSp, Parch"
CatBoost,0.8340807174887892,"Pclass, Sex, Parch, Fare, Embarked"
CatBoost,0.8340807174887892,"Sex, SibSp, Parch, Fare, Embarked"
CatBoost,0.8295964125560538,"Pclass, Sex, Age, SibSp"
CatBoost,0.8295964125560538,"Pclass, Sex, Fare, Embarked"
CatBoost,0.8295964125560538,"Sex, Age, Parch, Fare"
CatBoost,0.8295964125560538,"Sex, Age, Parch, Fare, Embarked"
CatBoost,0.8295964125560538,"Pclass, Sex, Age, SibSp, Parch, Embarked"
CatBoost,0.8251121076233184,"Pclass, Sex, Embarked"
CatBoost,0.8251121076233184,"Pclass, Sex, SibSp, Fare"
CatBoost,0.8251121076233184,"Pclass, Sex, Parch, Fare"
CatBoost,0.820627802690583,"Sex, Age, Parch"
CatBoost,0.820627802690583,"Sex, SibSp, Parch"
CatBoost,0.820627802690583,"Sex, Age, Fare, Embarked"
CatBoost,0.820627802690583,"Pclass, Sex, SibSp, Parch, Fare, Embarked"
CatBoost,0.8161434977578476,"Sex, SibSp, Fare"
CatBoost,0.8161434977578476,"Sex, Parch, Fare"
CatBoost,0.8116591928251121,"Sex, SibSp"
CatBoost,0.8116591928251121,"Sex, Age, Parch, Embarked"
CatBoost,0.8116591928251121,"Sex, SibSp, Parch, Fare"
CatBoost,0.8116591928251121,"Sex, SibSp, Parch, Embarked"
CatBoost,0.8116591928251121,"Sex, Parch, Fare, Embarked"
CatBoost,0.8116591928251121,"Pclass, Sex, SibSp, Parch, Fare"
CatBoost,0.8116591928251121,"Pclass, Sex, SibSp, Fare, Embarked"
CatBoost,0.8071748878923767,"Sex, Age"
CatBoost,0.8071748878923767,"Sex, Parch"
CatBoost,0.8071748878923767,"Sex, Fare"
CatBoost,0.8071748878923767,"Pclass, Sex, SibSp"
CatBoost,0.8071748878923767,"Sex, Fare, Embarked"
CatBoost,0.8071748878923767,"Sex, SibSp, Fare, Embarked"
CatBoost,0.8026905829596412,Sex
CatBoost,0.8026905829596412,"Pclass, Sex"
CatBoost,0.8026905829596412,"Sex, Embarked"
CatBoost,0.8026905829596412,"Sex, Age, Fare"
CatBoost,0.8026905829596412,"Sex, SibSp, Embarked"
CatBoost,0.8026905829596412,"Sex, Parch, Embarked"
CatBoost,0.8026905829596412,"Pclass, Sex, SibSp, Parch"
CatBoost,0.8026905829596412,"Pclass, Sex, SibSp, Parch, Embarked"
CatBoost,0.7982062780269058,"Sex, Age, Embarked"
CatBoost,0.7982062780269058,"Pclass, Sex, SibSp, Embarked"
CatBoost,0.7668161434977578,"Pclass, Age, Parch"
CatBoost,0.7668161434977578,"Pclass, Age, SibSp, Parch, Fare, Embarked"
CatBoost,0.7623318385650224,"Pclass, Parch"
CatBoost,0.7623318385650224,"Pclass, Parch, Embarked"
CatBoost,0.7623318385650224,"Pclass, Age, SibSp, Fare"
CatBoost,0.7623318385650224,"Pclass, Age, Parch, Fare"
CatBoost,0.7623318385650224,"Pclass, Age, Parch, Fare, Embarked"
CatBoost,0.757847533632287,"Pclass, Age, Fare"
CatBoost,0.757847533632287,"Pclass, Age, SibSp, Parch"
CatBoost,0.757847533632287,"Pclass, Age, SibSp, Parch, Fare"
CatBoost,0.7533632286995515,"Pclass, Parch, Fare"
CatBoost,0.7533632286995515,"Pclass, Age, Parch, Embarked"
CatBoost,0.7533632286995515,"Age, SibSp, Parch, Fare"
CatBoost,0.7533632286995515,"Pclass, Age, SibSp, Fare, Embarked"
CatBoost,0.7488789237668162,"Pclass, SibSp, Parch"
CatBoost,0.7488789237668162,"Age, SibSp, Fare, Embarked"
CatBoost,0.7488789237668162,"Pclass, Age, SibSp, Parch, Embarked"
CatBoost,0.7488789237668162,"Pclass, SibSp, Parch, Fare, Embarked"
CatBoost,0.7443946188340808,"Pclass, Fare"
CatBoost,0.7443946188340808,"Pclass, SibSp, Fare"
CatBoost,0.7443946188340808,"Pclass, Fare, Embarked"
CatBoost,0.7443946188340808,"Pclass, SibSp, Parch, Fare"
CatBoost,0.7443946188340808,"Pclass, SibSp, Parch, Embarked"
CatBoost,0.7443946188340808,"Pclass, Parch, Fare, Embarked"
CatBoost,0.7443946188340808,"Age, SibSp, Parch, Fare, Embarked"
CatBoost,0.7399103139013453,"Pclass, SibSp"
CatBoost,0.7399103139013453,"Fare, Embarked"
CatBoost,0.7399103139013453,"Age, SibSp, Fare"
CatBoost,0.7399103139013453,"Pclass, Age, Fare, Embarked"
CatBoost,0.7354260089686099,Fare
CatBoost,0.7354260089686099,"SibSp, Parch, Fare"
CatBoost,0.7354260089686099,"Pclass, SibSp, Fare, Embarked"
CatBoost,0.7354260089686099,"SibSp, Parch, Fare, Embarked"
CatBoost,0.7309417040358744,"Pclass, Age"
CatBoost,0.7309417040358744,"Pclass, Embarked"
CatBoost,0.7309417040358744,"Pclass, Age, SibSp"
CatBoost,0.7309417040358744,"Age, Fare, Embarked"
CatBoost,0.7309417040358744,"Parch, Fare, Embarked"
CatBoost,0.726457399103139,"Pclass, Age, SibSp, Embarked"
CatBoost,0.7219730941704036,"Age, Fare"
CatBoost,0.7219730941704036,"Pclass, Age, Embarked"
CatBoost,0.7219730941704036,"Pclass, SibSp, Embarked"
CatBoost,0.7219730941704036,"Age, Parch, Fare, Embarked"
CatBoost,0.7130044843049327,"Age, Parch, Fare"
CatBoost,0.7040358744394619,"Age, SibSp, Parch"
CatBoost,0.6995515695067265,"SibSp, Fare"
CatBoost,0.6995515695067265,"Parch, Fare"
CatBoost,0.6995515695067265,"Age, SibSp, Parch, Embarked"
CatBoost,0.6905829596412556,"Age, SibSp"
CatBoost,0.6905829596412556,"Age, Embarked"
CatBoost,0.6860986547085202,"SibSp, Parch, Embarked"
CatBoost,0.6860986547085202,"SibSp, Fare, Embarked"
CatBoost,0.6816143497757847,"Age, SibSp, Embarked"
CatBoost,0.6771300448430493,Pclass
CatBoost,0.6681614349775785,"SibSp, Parch"
CatBoost,0.6681614349775785,"SibSp, Embarked"
CatBoost,0.6636771300448431,SibSp
CatBoost,0.6636771300448431,Embarked
CatBoost,0.6547085201793722,Age
CatBoost,0.6502242152466368,Parch
CatBoost,0.6502242152466368,"Age, Parch"
CatBoost,0.6457399103139013,"Parch, Embarked"
CatBoost,0.6457399103139013,"Age, Parch, Embarked"
DecisionTree,0.852017937219731,"Pclass, Sex, Fare, Embarked"
DecisionTree,0.8430493273542601,"Pclass, Sex, Parch"
DecisionTree,0.8385650224215246,"Pclass, Sex, Age, SibSp, Parch, Fare, Embarked"
DecisionTree,0.8340807174887892,"Sex, Fare"
DecisionTree,0.8340807174887892,"Pclass, Sex, Fare"
DecisionTree,0.8340807174887892,"Pclass, Sex, SibSp, Fare"
DecisionTree,0.8295964125560538,"Sex, Parch, Fare"
DecisionTree,0.8295964125560538,"Pclass, Sex, Parch, Fare"
DecisionTree,0.8295964125560538,"Pclass, Sex, Parch, Embarked"
DecisionTree,0.8251121076233184,"Pclass, Sex, Embarked"
DecisionTree,0.8251121076233184,"Sex, SibSp, Fare"
DecisionTree,0.8251121076233184,"Sex, Fare, Embarked"
DecisionTree,0.8251121076233184,"Sex, SibSp, Parch, Fare"
DecisionTree,0.8251121076233184,"Sex, Parch, Fare, Embarked"
DecisionTree,0.8251121076233184,"Pclass, Sex, SibSp, Parch, Fare"
DecisionTree,0.8251121076233184,"Pclass, Sex, SibSp, Fare, Embarked"
DecisionTree,0.8251121076233184,"Sex, SibSp, Parch, Fare, Embarked"
DecisionTree,0.820627802690583,"Pclass, Sex, Age"
DecisionTree,0.820627802690583,"Sex, SibSp, Fare, Embarked"
DecisionTree,0.820627802690583,"Pclass, Sex, SibSp, Parch, Fare, Embarked"
DecisionTree,0.820627802690583,"Sex, Age, SibSp, Parch, Fare, Embarked"
DecisionTree,0.8161434977578476,"Pclass, Sex, Age, Embarked"
DecisionTree,0.8161434977578476,"Sex, Age, SibSp, Fare, Embarked"
DecisionTree,0.8161434977578476,"Pclass, Sex, Age, SibSp, Fare, Embarked"
DecisionTree,0.8116591928251121,"Sex, SibSp"
DecisionTree,0.8116591928251121,"Sex, SibSp, Parch"
DecisionTree,0.8116591928251121,"Sex, SibSp, Parch, Embarked"
DecisionTree,0.8116591928251121,"Pclass, Sex, Age, Fare, Embarked"
DecisionTree,0.8116591928251121,"Pclass, Sex, SibSp, Parch, Embarked"
DecisionTree,0.8116591928251121,"Pclass, Sex, Parch, Fare, Embarked"
DecisionTree,0.8071748878923767,"Sex, Parch"
DecisionTree,0.8071748878923767,"Pclass, Sex, SibSp"
DecisionTree,0.8071748878923767,"Pclass, Sex, Age, SibSp"
DecisionTree,0.8071748878923767,"Pclass, Sex, Age, Parch, Fare"
DecisionTree,0.8071748878923767,"Pclass, Sex, Age, Parch, Fare, Embarked"
DecisionTree,0.8026905829596412,Sex
DecisionTree,0.8026905829596412,"Pclass, Sex"
DecisionTree,0.8026905829596412,"Sex, Embarked"
DecisionTree,0.8026905829596412,"Sex, Age, SibSp"
DecisionTree,0.8026905829596412,"Sex, SibSp, Embarked"
DecisionTree,0.8026905829596412,"Sex, Parch, Embarked"
DecisionTree,0.8026905829596412,"Pclass, Sex, Age, Parch"
DecisionTree,0.8026905829596412,"Sex, Age, SibSp, Fare"
DecisionTree,0.8026905829596412,"Sex, Age, SibSp, Parch, Fare"
DecisionTree,0.7982062780269058,"Pclass, Sex, SibSp, Embarked"
